祥鹏航空 祥鹏航空,8L9652 8L9801,,新郑国际机场T2,21:40,三义机场,08:00,3,昆明,停留6h35m,noshare,¥1164,"经济舱3.9折
经济舱2.8折"
上海航空 东方航空,FM9541 MU5921,,新郑国际机场T2,07:40,三义机场,08:15,3,昆明,停留20h50m,noshare,¥1180,"经济舱
经济舱"
上海航空 东方航空,FM9541 MU5714,,新郑国际机场T2,07:40,三义机场,14:10,3,昆明,停留2h50m,noshare,¥1220,"经济舱
经济舱"
上海航空 东方航空,FM9541 MU5921,,新郑国际机场T2,07:40,三义机场,08:15,3,昆明,停留20h50m,noshare,¥1650,"头等舱
头等舱"
上海航空 东方航空,FM9541 MU5714,,新郑国际机场T2,07:40,三义机场,14:10,3,昆明,停留2h50m,noshare,¥1650,"头等舱
公务舱"
南方航空 普通列车,南方航空 CZ8536 K9692,,新郑国际机场T2,17:20,丽江,08:53,3,昆明,停留3h25m,noshare,¥849,硬座+经济舱
祥鹏航空 普通列车,祥鹏航空 8L9974 K9606,,新郑国际机场T2,07:00,丽江,06:32,3,昆明,停留11h42m,noshare,¥944,硬座+经济舱
四川航空,3U8843,空中客车 A321(中型),遥墙国际机场,18:05,太平国际机场T2,20:30,1,unknown,unknown,noshare,¥670,经济舱4.2折
山东航空,SC3019,空中客车 A321(中型),遥墙国际机场,18:05,太平国际机场T2,20:30,1,unknown,unknown,共享,¥683,经济舱4.3折
成都航空,EU8843,空中客车 A321(中型),遥墙国际机场,18:05,太平国际机场T2,20:30,1,unknown,unknown,共享,¥697,经济舱4.4折
南方航空,CZ6286,空中客车 A320(中型),遥墙国际机场,21:25,太平国际机场T2,23:40,1,unknown,unknown,noshare,¥700,经济舱4.8折
山东航空,SC8012,波音 737-800(中型),遥墙国际机场,20:00,太平国际机场T2,22:00,1,unknown,unknown,noshare,¥769,经济舱5.3折
山东航空,SC8793,波音 737-800(中型),遥墙国际机场,21:40,太平国际机场T2,23:45,1,unknown,unknown,noshare,¥769,经济舱5.3折
南方航空,CZ9937,空中客车 A321(中型),遥墙国际机场,18:05,太平国际机场T2,20:30,1,unknown,unknown,共享,¥780,经济舱4.9折
南方航空,CZ4964,空中客车 A320(中型),遥墙国际机场,18:10,太平国际机场T2,20:25,1,unknown,unknown,共享,¥780,经济舱4.9折
中国国航,CA8012,波音 737-800(中型),遥墙国际机场,20:00,太平国际机场T2,22:00,1,unknown,unknown,共享,¥790,经济舱5.4折
中国国航,CA8793,波音 737-800(中型),遥墙国际机场,21:40,太平国际机场T2,23:45,1,unknown,unknown,共享,¥790,经济舱5.4折
四川航空,3U1049,波音 737-800(中型),遥墙国际机场,21:40,太平国际机场T2,23:45,1,unknown,unknown,共享,¥790,经济舱5.4折
